ランク,所属コード,上位ランク,0,部門名称,開始世代,終了世代,コード1,コード2,コード3,コード4,コード5,コード6,コード7,コード8,コード9,名称1,名称2,名称3,名称4,名称5,名称6,名称7,名称8,名称9,所属名称,略称,備考,給与専用,所属コード,総表示順位
4,10044000,3,10040000,付（出向休職）,64,9999,2,290,671,3190,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（出向休職）,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（出向休職）,コーポレートプランニング本部人事局付（出向休職）,,0,10044000,38
5,10044001,4,10044000,（日本広告審査機構）,64,9999,2,290,671,3190,829,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（出向休職）,（日本広告審査機構）,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（出向休職） （日本広告審査機構）,ＣＯＰ本部人事局付（出向休職）（日本広告審査機構）,,0,10044001,39
5,10044004,4,10044000,（大阪アドバタイジングエージェンシーズ協会）,64,9999,2,290,671,3190,830,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（出向休職）,（大阪アドバタイジングエージェンシーズ協会）,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（出向休職） （大阪アドバタイジングエージェンシーズ協会）,ＣＯＰ本部人事局付（出向休職）（ＯＡＡＡ）,,0,10044004,40
4,10043000,3,10040000,付（定期採用者）,64,9999,2,290,671,3191,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（定期採用者）,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（定期採用者）,コーポレートプランニング本部人事局付（定期採用者）,,0,10043000,41
4,10043500,3,10040000,付（育児休職）,64,9999,2,290,671,3192,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（育児休職）,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（育児休職）,コーポレートプランニング本部人事局付（育児休職）,,0,10043500,42
4,10045500,3,10040000,付（傷病休職）,64,9999,2,290,671,3193,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（傷病休職）,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（傷病休職）,コーポレートプランニング本部人事局付（傷病休職）,,0,10045500,43
4,10045000,3,10040000,付（介護休職）,64,9999,2,290,671,3194,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（介護休職）,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（介護休職）,コーポレートプランニング本部人事局付（介護休職）,,0,10045000,44
4,10044500,3,10040000,付（特別休職）,64,9999,2,290,671,3195,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（特別休職）,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（特別休職）,コーポレートプランニング本部人事局付（特別休職）,,0,10044500,45
4,10046500,3,10040000,付（特別退職年金）,64,9999,2,290,671,3196,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,人事局,付（特別退職年金）,,,,,,株式会社  大広 コーポレートプランニング本部 人事局 付（特別退職年金）,コーポレートＰ本部人事局付（特別退職年金）,,0,10046500,46
2,08000000,1,00000001,コーポレートマネジメント本部,64,9999,2,291,0,0,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,,,,,,,,株式会社  大広 コーポレートマネジメント本部,コーポレートマネジメント本部,,0,08000000,47
3,08030000,2,08000000,総務局,64,9999,2,291,672,0,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,総務局,,,,,,,株式会社  大広 コーポレートマネジメント本部 総務局,コーポレートマネジメント本部総務局,,0,08030000,48
4,08031000,3,08030000,総務チーム,64,9999,2,291,672,3197,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,総務局,総務チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 総務局 総務チーム,コーポレートマネジメント本部総務局総務チーム,,0,08031000,49
4,08032000,3,08030000,大阪総務チーム,64,9999,2,291,672,3198,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,総務局,大阪総務チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 総務局 大阪総務チーム,コーポレートマネジメント本部総務局大阪総務チーム,,0,08032000,50
4,08034000,3,08030000,法務チーム,64,9999,2,291,672,3199,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,総務局,法務チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 総務局 法務チーム,コーポレートマネジメント本部総務局法務チーム,,0,08034000,51
4,08033000,3,08030000,広報チーム,64,9999,2,291,672,3200,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,総務局,広報チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 総務局 広報チーム,コーポレートマネジメント本部総務局広報チーム,,0,08033000,52
4,08036000,3,08030000,秘書チーム,64,9999,2,291,672,3201,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,総務局,秘書チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 総務局 秘書チーム,コーポレートマネジメント本部総務局秘書チーム,,0,08036000,53
5,08037000,4,08036000,（大阪駐在）,64,9999,2,291,672,3201,831,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,総務局,秘書チーム,（大阪駐在）,,,,,株式会社  大広 コーポレートマネジメント本部 総務局 秘書チーム （大阪駐在）,コーポレートＭ本部総務局秘書チーム（大阪駐在）,,0,08037000,54
4,08030002,3,08030000,付（博報堂ＤＹホールディングス出向）,64,9999,2,291,672,3202,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,総務局,付（博報堂ＤＹホールディングス出向）,,,,,,株式会社  大広 コーポレートマネジメント本部 総務局 付（博報堂ＤＹホールディングス出向）,コーポレートマネジメント本部総務局付（ＨＣ出向）,,0,08030002,55
4,08038000,3,08030000,付（出向休職）,64,9999,2,291,672,3203,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,総務局,付（出向休職）,,,,,,株式会社  大広 コーポレートマネジメント本部 総務局 付（出向休職）,コーポレートマネジメント本部総務局付（出向休職）,,0,08038000,56
5,08038001,4,08038000,（博報堂ＤＹホールディングス）,64,9999,2,291,672,3203,832,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,総務局,付（出向休職）,（博報堂ＤＹホールディングス）,,,,,株式会社  大広 コーポレートマネジメント本部 総務局 付（出向休職） （博報堂ＤＹホールディングス）,コーポレートＭ本部総務局付（出向休職）（ＨＣ）,,0,08038001,57
3,08040000,2,08000000,経理財務局,64,9999,2,291,673,0,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,経理財務局,,,,,,,株式会社  大広 コーポレートマネジメント本部 経理財務局,コーポレートマネジメント本部経理財務局,,0,08040000,58
4,08041000,3,08040000,経理チーム,64,9999,2,291,673,3204,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,経理財務局,経理チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 経理財務局 経理チーム,コーポレートマネジメント本部経理財務局経理チーム,,0,08041000,59
5,08043000,4,08041000,（名古屋駐在）,64,9999,2,291,673,3204,833,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,経理財務局,経理チーム,（名古屋駐在）,,,,,株式会社  大広 コーポレートマネジメント本部 経理財務局 経理チーム （名古屋駐在）,ＣＯＭ本部経理財務局経理チーム（名古屋駐在）,,0,08043000,60
5,08042000,4,08041000,（大阪駐在）,64,9999,2,291,673,3204,834,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,経理財務局,経理チーム,（大阪駐在）,,,,,株式会社  大広 コーポレートマネジメント本部 経理財務局 経理チーム （大阪駐在）,ＣＯＭ本部経理財務局経理チーム（大阪駐在）,,0,08042000,61
4,08040002,3,08040000,付（博報堂ＤＹホールディングス出向）,64,9999,2,291,673,3205,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,経理財務局,付（博報堂ＤＹホールディングス出向）,,,,,,株式会社  大広 コーポレートマネジメント本部 経理財務局 付（博報堂ＤＹホールディングス出向）,ＣＯＭ本部経理財務局付（ＨＣ出向）,,0,08040002,62
4,08040003,3,08040000,付（博報堂ＤＹトータルサポート出向）,64,9999,2,291,673,3206,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,経理財務局,付（博報堂ＤＹトータルサポート出向）,,,,,,株式会社  大広 コーポレートマネジメント本部 経理財務局 付（博報堂ＤＹトータルサポート出向）,ＣＯＭ本部経理財務局付（博報堂ＤＹｔｓ出向）,,0,08040003,63
4,08044000,3,08040000,付（出向休職）,64,9999,2,291,673,3208,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,経理財務局,付（出向休職）,,,,,,株式会社  大広 コーポレートマネジメント本部 経理財務局 付（出向休職）,ＣＯＭ本部経理財務局付（出向休職）,,0,08044000,64
5,08044001,4,08044000,（博報堂ＤＹホールディングス）,64,9999,2,291,673,3208,835,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,経理財務局,付（出向休職）,（博報堂ＤＹホールディングス）,,,,,株式会社  大広 コーポレートマネジメント本部 経理財務局 付（出向休職） （博報堂ＤＹホールディングス）,ＣＯＭ本部経理財務局付（出向休職）（ＨＣ）,,0,08044001,65
3,08050000,2,08000000,ビジネスマネジメント局,64,9999,2,291,674,0,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局,コーポレートマネジメント本部ビジネスマネジメント局,,0,08050000,66
4,08051000,3,08050000,東京プロフィットデザインチーム,64,9999,2,291,674,3209,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,東京プロフィットデザインチーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 東京プロフィットデザインチーム,ＣＯＭ本部ＢＭ局東京プロフィットデザインチーム,,0,08051000,67
4,08052000,3,08050000,大阪プロフィットデザインチーム,64,9999,2,291,674,3210,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,大阪プロフィットデザインチーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 大阪プロフィットデザインチーム,ＣＯＭ本部ＢＭ局大阪プロフィットデザインチーム,,0,08052000,68
